DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE,CLASSIFICATION_TRANS
2022-04-30,INET-IMPS-CR VINAYAKAA TAMILNAD2461M 884,4425.0,0.0,-110106720.84,IMPS
2022-05-01,IBOAT352448003054201000229OTH,0.0,250000.0,-109856720.84,TRANSFER
2022-05-01,IBOAT11111500023972610101372461OnlineTransactionOTH-,100000.0,0.0,-109956720.84,TRANSFER
2022-05-02,ChqPaid-MICRInward2461Clearing-RAJKUMARPRINTERS-KARURVYSYABANKLTDKVB-KARURVYSYABANKLTD,8100.0,0.0,-109964820.84,CHQ
2022-05-02,ByClgCHNACCTSEC-FEDERALBANK2461LTDFBLCHITRAAGENCIES,0.0,2853.0,-109961967.84,CHQ
2022-05-02,ByClgCHNACCTSEC-ICICIBANKLTD2461CHITRAAGENCIES,0.0,15000.0,-109946967.84,CHQ
2022-05-02,ByClgCHNACCTSEC-UNIONBANKOF2461INDIAUBICHITRAAGENCIES,0.0,7268.0,-109939699.84,CHQ
2022-05-02,ByClgCHNACCTSEC-INDIANBANK2461INBCHITRAAGENCIES,0.0,13357.0,-109926342.84,CHQ
2022-05-02,ByClgCHNACCTSEC-TAMILNAD2461MERCANTILEBANKLTDTMBCHITRAAGENCIES,0.0,25000.0,-109901342.84,CHQ
2022-05-02,ByClgCHNACCTSEC-INDIAN2461OVERSEASBANKIOBCHITRAAGENCIES,0.0,10000.0,-109891342.84,CHQ
2022-05-02,ByClgCHNACCTSEC-HDFCBANK2461LTDCHITRAAGENCIES,0.0,11245.0,-109880097.84,CHQ
2022-05-02,ByClgCHNACCTSEC-TAMILNAD2461MERCANTILEBANKLTDTMBCHITRAAGENCIES,0.0,5000.0,-109875097.84,CHQ
2022-05-02,ByClgCHNACCTSEC-INDIANBANK2461INBCHITRAAGENCIES,0.0,107272.0,-109767825.84,CHQ
2022-05-02,ByClgCHNACCTSEC-KARURVYSYA2461BANKLTDKVBCHITRAAGENCIES,0.0,9404.0,-109758421.84,CHQ
2022-05-02,ByClgCHNACCTSEC-INDIAN2461OVERSEASBANKIOBCHITRAAGENCIES,0.0,30139.0,-109728282.84,CHQ
2022-05-02,ByClgCHNACCTSEC-INDIAN2461OVERSEASBANKIOBCHITRAAGENCIES,0.0,21780.0,-109706502.84,CHQ
2022-05-02,ByClgCHNACCTSEC-INDIANBANK2461INBCHITRAAGENCIES,0.0,6272.0,-109700230.84,CHQ
2022-05-02,ByClgCHNACCTSEC-TAMILNAD2461MERCANTILEBANKLTDTMBCHITRAPage1of215AGENCIES,0.0,4735.0,-109695495.84,CHQ
2022-05-02,ByClgCHNACCTSEC-PUNJAB2461NATIONALBANKPNBCHITRAAGENCIES,0.0,41322.0,-109654173.84,CHQ
2022-05-02,NEFT2461ALAJIAUTOPART-1071,0.0,6658.0,-109647515.84,NEFT
2022-05-02,INET-IMPS-CR SRIKRISHN TAMILNAD2461M 073,0.0,14181.0,-109633334.84,IMPS
2022-05-02,NEFT2461Cr---NOVACOTTAGEINDUSTRY-SPLSMEBRANCHMADURAI,0.0,73024.0,-109560310.84,NEFT
2022-05-02,NEFT2461Cr-64-SUNDARAMCO- ATTN Chit,0.0,3460.0,-109556850.84,NEFT
2022-05-02,NEFT2461Cr-48-JAYAAUTOPARTS- ATTN INB,0.0,86663.0,-109470187.84,NEFT
2022-05-02,FundsTransferDebit3315201000036THIRUMURUGANAUTOSP,0.0,3328.0,-109466859.84,TRANSFER
2022-05-02,UPI CR 212266388112 J2461PACKIAR IBKL 60006ybl PaytoM 4b,0.0,2000.0,-109464859.84,UPI
2022-05-02,UPI CR 212236004936 Mr2461ANagar IDIB 894-1okaxis UPI 771ff6 05 2022,0.0,5000.0,-109459859.84,UPI
2022-05-02,NEFT2461Cr-T015-SRIBALAJIAUTOSTORE-null,0.0,196062.0,-109263797.84,NEFT
2022-05-02,UPI CR 212276697282 NAHARJUN2461S CNRB rjun1ybl Payment,0.0,6500.0,-109257297.84,UPI
2022-05-02,NEFT2461Cr---SRIAYYANARAUTOMOBILES-SPLSMEBRANCHMADURAI,0.0,52871.0,-109204426.84,NEFT
2022-05-02,INET-IMPS-CR Customer IOBN12461 241 kayyem0,0.0,13846.0,-109190580.84,IMPS
2022-05-02,IBITG18209230010062610052682461OTH-BILLPAY,0.0,15000.0,-109175580.84,TRANSFER
2022-05-02,NEFT2461AMAUTOSPARES-null,0.0,25054.0,-109150526.84,NEFT
2022-05-02,INET-IMPS-CR MPTRACTO TAMILNAD2461M 028,0.0,9301.0,-109141225.84,IMPS
2022-05-02,NEFT2461Cr---SRIVIGNESHMOTORS-SPLSMEBRANCHMADURAI,0.0,4270.0,-109136955.84,NEFT
2022-05-02,UPI CR 212290673784 VIJAYA2461KU CNRB ci PaytoM Ib,0.0,4359.0,-109132596.84,UPI
2022-05-03,UPI CR 212355299794 SRI2461VEERA TMBL s UPI AXI6aefafdabc 2022,0.0,4256.0,-109128340.84,UPI
2022-05-03,UPI CR 212373038961 GENGAIAH2461N KVBL cbank PaytoPage2of215M 2022,0.0,4026.0,-109124314.84,UPI
2022-05-03,UPI CR 212303888702 MOHAMED2461B CNRB ci UPI d,0.0,5000.0,-109119314.84,UPI
2022-05-03,2461UPI 956 RAMALINGA CNRB ci UPI I436ad 05 2022,0.0,5000.0,-109114314.84,UPI
2022-05-03,NEFT2461Cr-50-SUBBIAHAGENCYS- ATTN,0.0,4055.0,-109110259.84,NEFT
2022-05-03,2461UPI 492 SASIKUMAR SBIN UPI f,0.0,5000.0,-109105259.84,UPI
2022-05-03,INET-IMPS-CR JAYAPRIYA TAMILNAD2461M 283,0.0,5003.0,-109100256.84,IMPS
2022-05-03,2461UPI 870 CHANDRASE CNRB 76143ybl Payment b1,0.0,10000.0,-109090256.84,UPI
2022-05-03,MOB-IMPS-CR SELVARAJA INDIAN2461 9,0.0,9498.0,-109080758.84,IMPS
2022-05-03,NEFTCr-000547611607-UBIN0545554-B2461MAUTOSTORES- URGENT,0.0,2658.0,-109078100.84,NEFT
2022-05-03,IBOAT12655180023972610101372461OnlineTransactionOTH-,50000.0,0.0,-109128100.84,TRANSFER
2022-05-03,IBOAT12684560023972610101372461OnlineTransactionOTH-,10000.0,0.0,-109138100.84,TRANSFER
2022-05-04,NEFT24610000001-ASHANMUGASUNDARAMURADEPOT-OILPAYMENT,0.0,18656.0,-109119444.84,NEFT
2022-05-04,2461UPI 273 VIGNESH KVBL cbank UPI,0.0,3000.0,-109116444.84,UPI
2022-05-04,IBITG4696040010112820000862461OTH-CASTROLBILLPAYMENT,0.0,92656.0,-109023788.84,TRANSFER
2022-05-04,NEFT2461Cr-99-NATIONALTRADERS-null,0.0,14304.0,-109009484.84,NEFT
2022-05-04,MB 62081400000335 PMVAUTO2461STRA CAN 2022,0.0,12000.0,-108997484.84,IMPS
2022-05-04,UPI CR 212411498115 SURESH2461KU SBIN crboil,0.0,20000.0,-108977484.84,UPI
2022-05-04,UPI CR 212412037791 Antony2461Pr SBIN ckiumoksbi UPI SBIca 05 2022,0.0,9105.0,-108968379.84,UPI
2022-05-04,INET-IMPS-CR SRIITHIRU TAMILNAD2461M 654 Sriit 05,0.0,5132.0,-108963247.84,IMPS
2022-05-04,FundsTransferDebit1011282000079-S2461KSAUTOCENTRE,0.0,19928.0,-108943319.84,TRANSFER
2022-05-04,NEFT2461Cr-27-ABPage3of215DULLAHAUTOSTORES- ATTN,0.0,121327.0,-108821992.84,NEFT
2022-05-04,UPI CR 212415509558 SOMU2461R IOBA ci UPI Ibd 05 2022,0.0,2700.0,-108819292.84,UPI
2022-05-04,2461UPI 343 BOOPATHIR KVBL ci UPI 334d 05 2022,0.0,16690.0,-108802602.84,UPI
2022-05-04,NEFT2461Cr-66-SRILAKSHMIAGENCIES- ATTN INB,0.0,143285.0,-108659317.84,NEFT
2022-05-04,NEFTCr-SAA118110465-TMBL0000051-S2461PSTORE-null,0.0,4833.0,-108654484.84,NEFT
2022-05-04,NEFT2461ARAJAUTOSTORE-null,0.0,2991.0,-108651493.84,NEFT
2022-05-04,MB6700450 05 222461,0.0,4407.0,-108647086.84,TRANSFER
2022-05-04,UPI CR 212480603055 MBR2461AUTOM UTIB mbr-1okaxis PaytoM feda,0.0,1.0,-108647085.84,UPI
2022-05-04,MB 1009261011460 AGRI2461IOL CANARA AGRII 2022,0.0,1979.0,-108645106.84,IMPS
2022-05-04,NEFT246161DC-ICIC0SF0002-VSTADITYAAUTOMOBIL-castrolpurchase,0.0,3636.0,-108641470.84,NEFT
2022-05-04,NEFT2461AUTOSTORES-Arunbyepass,0.0,3425.0,-108638045.84,NEFT
2022-05-04,UPI CR 212482558173 MrSIBI2461S CIUB s PaytoM AX3 05 2022,0.0,992.0,-108637053.84,UPI
2022-05-04,IBITG21118960040642560003772461OTH-tnchithraagencies,0.0,8000.0,-108629053.84,TRANSFER
2022-05-04,NEFT2461Cr---SELVITYRES-null,0.0,71559.0,-108557494.84,NEFT
2022-05-04,NEFT2461Cr-56-SRIVISHNUTRADERS-SRIVISHNUTRADERS,0.0,10000.0,-108547494.84,NEFT
2022-05-05,NEFT24610NEFT01-SRIVISHNUAUTOMOBILES-CASTROL,0.0,43109.0,-108504385.84,NEFT
2022-05-05,ByClgCHNACCTSEC-HDFCBANK2461LTDCHITHRAAGENCIES,0.0,6030.0,-108498355.84,CHQ
2022-05-05,ByClgCHNACCTSEC-TAMILNAD2461MERCANTILEBANKLTDTMBCHITHRAAGENCIES,0.0,7300.0,-108491055.84,CHQ
